asset_id,asset_name,asset_type,hazard_score,vulnerability_score,exposure_score,risk_score,risk_level,recommendations
HOS-001,Eastern Regional Hospital,hospital,55,0.3,1.0,16.5,Very Low,No immediate action required; Maintain awareness of changing conditions
HOS-002,St. Joseph's Hospital,hospital,55,0.4,1.0,22.0,Low,Standard maintenance protocols; Include in routine monitoring schedule
SCH-001,Koforidua SHTS,school,55,0.45,0.25,6.19,Very Low,No immediate action required; Maintain awareness of changing conditions
SCH-002,Pope John SHS,school,55,0.35,0.18,3.46,Very Low,No immediate action required; Maintain awareness of changing conditions
SCH-003,Oyoko Methodist Primary,school,55,0.55,0.07,1.97,Very Low,No immediate action required; Maintain awareness of changing conditions
BRD-001,Koforidua-Accra Bridge,bridge,55,0.5,1.0,27.5,Low,Standard maintenance protocols; Include in routine monitoring schedule
BRD-002,Effiduase Stream Crossing,bridge,55,0.65,1.0,35.75,Low,Standard maintenance protocols; Include in routine monitoring schedule
BLD-001,Municipal Assembly,building,55,0.35,1.0,19.25,Very Low,No immediate action required; Maintain awareness of changing conditions
BLD-002,Koforidua Central Market,building,55,0.6,1.0,33.0,Low,Standard maintenance protocols; Include in routine monitoring schedule
BLD-003,Water Pumping Station,building,55,0.45,1.0,24.75,Low,Standard maintenance protocols; Include in routine monitoring schedule
RD-001,Koforidua-Bunso Road,road,55,0.55,1.0,30.25,Low,Standard maintenance protocols; Include in routine monitoring schedule
RD-002,Effiduase-Asokore Road,road,55,0.7,1.0,38.5,Low,Standard maintenance protocols; Include in routine monitoring schedule
